Quote,Author,Tag
"So he was queer, E.M. Forster. It wasn't his middle name (that would be 'Morgan'), but it was his orientation, his romping pleasure, his half-secret, his romantic passion. In the long-suppressed novel Maurice the title character blurts out his truth, 'I'm an unspeakable of the Oscar Wilde sort.' It must have felt that way when Forster came of sexual age in the last years of the 19th century: seriously risky and dangerously blurt-able. The public cry had caught Wilde, exposed and arrested him, broken him in prison. He was one face of anxiety to Forster; his mother was another. As long as she lived (and they lived together until she died, when he was 66), he couldn't let her know.",Michael Levenson,Dark Academia
"A man's life is of more value than a woman's. It has larger issues, wider scope, greater ambitions. Our lives revolve in curves of emotions. It is upon lines of intellect that a man's life progresses. I have just learnt this, and much else with it, from Lord Goring. And I will not spoil your life for you, nor see you spoil it as a sacrifice to me, a useless sacrifice.",Oscar Wilde,Dark Academia
"Now, I have always wanted to agree with Lady Bracknell that there is no earthly use for the upper and lower classes unless they set each other a good example. But I shouldn't pretend that the consensus itself was any of my concern. It was absurd and slightly despicable, in the first decade of Thatcher and Reagan, to hear former and actual radicals intone piously against 'the politics of confrontation.' I suppose that, if this collection has a point, it is the desire of one individual to see the idea of confrontation kept alive.",Christopher Hitchens,Dark Academia
"It is not he who is revealed by the painter; it is rather the painter, who on the coloured canvas, reveals himself.",Oscar Wilde,Dark Academia
He would never again tempt innocence. He would be good.,Oscar Wilde,Dark Academia
"When in Reading Gaol he told me that the warders in the dock had been gentle and kind, but the visit of the chaplain in his first prison began with these words: 'Mr. Wilde, did you have morning prayers in your house?' 'I am sorry... I fear not.' 'You see where you are now!",Charles Ricketts,Dark Academia
"Photographs are the reflection of untold stories, unseen beauties, unexpressed emotions, and the unheard songs of life.",Debasish Mridha,Dark Academia
Appreciation has tremendous power. A beautiful thing is not beautiful until someone appreciates it.,Debasish Mridha,Dark Academia
What people call insincerity is simply a method by which we can multiply our personalities.,Oscar Wilde,Dark Academia
"Poor Aubrey: I hope he will get all right. He brought a strangely new personality to English art, and was a master in his way of fantastic grace, and the charm of the unreal. His muse had moods of terrible laughter. Behind his grotesques there seemed to lurk some curious philosophy…",Oscar Wilde,Dark Academia
It is a consolation or a misfortune that the wrong kind of people are too often correct in their prognostications of the future; the far-seeing are also the foolish.,Robbie Ross,Dark Academia
You will always be fond of me. I represent to you all the sins you never had the courage to commit,Oscar Wilde,Dark Academia
"They walked softly, as men do instinctively at night. The lamp cast fantastic shadows on the wall and staircase. A rising wind made some of the windows rattle.",Oscar Wilde,Dark Academia
"Some believe that as an icon the image of Oscar Wilde is too old and notorious--all right, not an icon, let him be our oriflamme.",Lara Biyuts,Dark Academia
"Most men spontaneously live a fictitious and alien life. 'Most people are other people,' said Oscar Wilde, and he was right.",Fernando Pessoa,Dark Academia
Those who pay their bills on time are soon forgotten. It is only by not paying one's bills that one can hope to live in the memory of the commercial classes.,Gyles Brandreth,Dark Academia
To speak the truth is a painful thing. To be forced to tell lies is much worse.,Oscar Wilde,Dark Academia
"Donna agine that your perfection lies in accumulating or possessing external things. Your perfection is inside of you. If only you could realise that, you would not want to be rich. Ordinary riches can be stolen from a man. Real riches cannot.",Oscar Wilde,Dark Academia
"Anyone can have a pretty face, but the most beautiful things are the most fleeting. If we lived in a world of perpetual sunsets and cherry blossoms, they would become common and their colors would soon look dull. But for the evanescent moments that I exist, I am the most beautiful thing anyone has ever seen.",Kylie Lee Baker,Dark Academia
"Sometimes, people leave because things don't work, and sometimes they leave because they found someone.",Wajid Shaikh,Dark Academia
They live the poetry they cannot write. The others write the poetry they do not dare to create.,Oscar Wilde,Dark Academia
"If Sibyl is able to give a soul to those who have lived without one, if she creates a feeling of beauty in people whose lives have been sordid and miserable, if she frees them from their selfishness and lends them tears for sufferings that are not their own, she deserves all your adoration, she deserves the adoration of the whole world.",Oscar Wilde,Dark Academia
You became the visible embodiment of that never-contemplated ideal whose memory haunts us artists like an exquisite dream. I adored you.,Oscar Wilde,Dark Academia
No one finds two ideal people in life. Few even find just one.,Oscar Wilde,Dark Academia
Sometimes I didn't know if I was reading the spiritual ecstasies of some medieval saint or the morbid confessions of a modern sinner.,Oscar Wilde,Dark Academia
"Men feel a natural instinct of terror towards passions and sensations stronger than themselves, and are aware that they share them with lower forms of existence.",Oscar Wilde,Dark Academia
"His true objective had to be the experience itself, and not the fruits of the experience, whether sweet or bitter.",Oscar Wilde,Dark Academia
